symbo;name;sector
002352;S.F. HOLDING LTD A;Industrials
600406;NARI TECHNOLOGY LTD A;Industrials
136;CHINA RUYI HOLDINGS LTD;Communication
881;ZHONGSHENG GROUP HOLDINGS LTD;Consumer Discretionary
6078;HYGEIA HEALTHCARE HOLDINGS LTD;Health Care
601766;CRRC CORP LTD A;Industrials
772;CHINA LITERATURE LTD;Communication
656;FOSUN INTERNATIONAL LTD;Industrials
603288;FOSHAN HAI TIAN FLAVOURING & FOOD;Consumer Staples
002142;BANK OF NINGBO LTD A;Financials
6837;HAITONG SECURITIES COMPANY LTD H;Financials
601988;BANK OF CHINA LTD A;Financials
177;JIANGSU EXPRESSWAY LTD H;Industrials
002371;NAURA TECHNOLOGY GROUP LTD A;Information Technology
371;BEIJING ENTERPRISES WATER GROUP LT;Utilities
600150;CHINA CSSC HOLDINGS LTD A;Industrials
000725;BOE TECHNOLOGY GROUP LTD A;Information Technology
6060;ZHONGAN ONLINE P & C INSURANCE COR;Financials
6110;TOPSPORTS INTERNATIONAL HOLDINGS L;Consumer Discretionary
2238;GUANGZHOU AUTOMOBILE GROUP LTD H;Consumer Discretionary
3320;CHINA RESOURCES PHARMACEUTICAL GRO;Health Care
600019;BAOSHAN IRON & STEEL LTD A;Materials
300498;WENS FOODSTUFF GROUP LTD;Consumer Staples
601658;POSTAL SAVINGS BANK OF CHINA LTD A;Financials
601818;CHINA EVERBRIGHT BANK LTD A;Financials
603993;CHINA MOLYBDENUM LTD A;Materials
900926;SHANGHAI BAOSIGHT SOFTWARE LTD B;Information Technology
696;TRAVELSKY TECHNOLOGY LTD H;Consumer Discretionary
1772;GANFENG LITHIUM LTD H;Materials
601888;CHINA TOURISM GROUP DUTY FREE CORP;Consumer Discretionary
600919;BANK OF JIANGSU CORPORATION LTD A;Financials
600050;CHINA UNITED NETWORK COMMUNICATION;Communication
002304;JIANGSU YANGHE BREWERY JOINT-STOCK;Consumer Staples
