symbol;name;sector
2382;SUNNY OPTICAL TECHNOLOGY LTD;Information Technology
MOL;MOL HUNGARIAN OIL AND GAS;Energy
CBQK;COMMERCIAL BANK OF QATAR;Financials
285;BYD ELECTRONIC (INTERNATIONAL) LTD;Information Technology
2280;ALMARAI;Consumer Staples
BVN;BUENAVENTURA ADR REPRESENTING;Materials
SUZB3;SUZANO SA;Materials
RNI;REINET INVESTMENTS S.C.A.;Financials
GOTO;GOTO GOJEK TOKOPEDIA;Consumer Discretionary
NRP;NEPI ROCKCASTLE NV;Real Estate
PIIND;P.I. INDUSTRIES LTD;Materials
1099;SINOPHARM GROUP LTD H;Health Care
3481;INNOLUX CORP;Information Technology
BANKBARODA;BANK OF BARODA LTD;Financials
TATAMTRDVR;TATA MOTORS LTD CLASS A DVR;Consumer Discretionary
POLYCAB;POLYCAB INDIA LTD;Industrials
LODHA;MACROTECH DEVELOPERS LTD;Real Estate
COPEC;EMPRESAS COPEC SA;Energy
968;XINYI SOLAR HOLDINGS LTD;Information Technology
ASTRAL;ASTRAL LTD;Industrials
1193;CHINA RESOURCES GAS GROUP LTD;Utilities
TORNTPHARM;TORRENT PHARMACEUTICALS LTD;Health Care
1339;THE PEOPLES INSURANCE CO (GROUP);Financials
2105;CHENG SHIN RUBBER INDUSTRY LTD;Consumer Discretionary
BSANTANDER;BANCO SANTANDER CHILE;Financials
DSY;DISCOVERY LTD;Financials
IRCTC;INDIAN RAILWAY CATERING AND TOURIS;Industrials
3993;CMOC GROUP LTD H;Materials
2888;SHIN KONG FINANCIAL HOLDING LTD;Financials
MRF;MRF LTD;Consumer Discretionary
IDFCFIRSTB;IDFC FIRST BANK LTD;Financials
ALI;AYALA LAND INC;Real Estate
GULF.R;GULF ENERGY DEVELOPMENT PCL NON-VO;Utilities
YKBNK.E;YAPI VE KREDI BANKASI A;Financials
BELA;JUMBO SA;Consumer Discretionary
BPAC11;BCO BTG PACTUAL UNT SA;Financials
CPN.R;CENTRAL PATTANA NON-VOTING DR PCL;Real Estate
SAHOL.E;HACI OMER SABANCI HOLDING A;Financials
CONCOR;CONTAINER CORPORATION OF INDIA LTD;Industrials
TCELL.E;TURKCELL ILETISIM HIZMETLERI A;Communication
APLAPOLLO;APL APOLLO TUBES LTD;Materials
EQTL3;EQUATORIAL ENERGIA SA;Utilities
2801;CHANG HWA COMMERCIAL BANK LTD;Financials
PNB;PUNJAB NATIONAL BANK;Financials
KIMBERA;KIMBERLY-CLARK DE MEXICO CLASS A;Consumer Staples
960;LONGFOR GROUP HOLDINGS LTD;Real Estate
OMU;OLD MUTUAL LIMITED LTD;Financials
1111;SAUDI TADAWUL GROUP CO;Financials
1605;WALSIN LIHWA CORP;Industrials
6409;VOLTRONIC POWER TECHNOLOGY CORP;Industrials
IDR;IDR CASH;Cash and/or Derivatives
REM;REMGRO LTD;Financials
051900;LG H & H LTD;Consumer Staples
PRIO3;PETRO RIO SA;Energy
000100;YUHAN CORP;Health Care
2834;TAIWAN BUSINESS BANK LTD;Financials
3888;KINGSOFT CORP LTD;Communication
WHL;WOOLWORTHS HOLDING LTD;Consumer Discretionary
011200;HMM LTD;Industrials
005830;DB INSURANCE LTD;Financials
VOD;VODACOM GROUP LTD;Communication
6030;CITIC SECURITIES COMPANY LTD H;Financials
QIIK;QATAR INTERNATIONAL ISLAMIC BANK;Financials
1402;FAR EASTERN NEW CENTURY CORP;Industrials
4002;AL MOUWASAT MEDICAL SERVICES;Health Care
005385;HYUNDAI MOTOR S1 PREF;Consumer Discretionary
RADL3;RAIA DROGASIL;Consumer Staples
TATAELXSI;TATA ELXSI LTD;Information Technology
2600;ALUMINUM CORPORATION OF CHINA LTD;Materials
2347;SYNNEX TECHNOLOGY INTERNATIONAL CO;Information Technology
PE&OLES*;INDUST PENOLES;Materials
2050;SAVOLA GROUP;Consumer Staples
SONACOMS;SONA BLW PRECISION FORGINGS LTD;Consumer Discretionary
FIBRAPL14;PROLOGIS PROPERTY MEXICO REIT SA;Real Estate
OPAP;GREEK ORGANISATION OF FOOTBALL PRO;Consumer Discretionary
1102;ASIA CEMENT CORP;Materials
PETRONET;PETRONET LNG LTD;Energy
1766;CRRC CORP LTD H;Industrials
PETGAS;PETRONAS GAS;Utilities
2618;EVA AIRWAYS CORP;Industrials
ADNOCDIST;ABU DHABI NATIONAL OIL COMPANY FOR;Consumer Discretionary
5347;VANGUARD INTERNATIONAL SEMICONDUCT;Information Technology
916;CHINA LONGYUAN POWER GROUP CORP LT;Utilities
HTO;HELLENIC TELECOMMUNICATIONS ORGANI;Communication
PPC;PUBLIC POWER CORPORATION SA;Utilities
LEGN;LEGEND BIOTECH ADR REP CORP;Health Care
NMDC;NMDC LTD;Materials
QGTS;QATAR GAS TRANSPORT COMPANY LTD;Energy
066970;L&F LTD;Industrials
2310;SAHARA INTERNATIONAL PETROCHEMICAL;Materials
010130;KOREA ZINC INC;Materials
268;KINGDEE INT L SOFTWARE GROUP LTD;Information Technology
384;CHINA GAS HOLDINGS LTD;Utilities
352820;HYBE LTD;Communication
PAGEIND;PAGE INDUSTRIES LTD;Consumer Discretionary
SHREECEM;SHREE CEMENT LTD;Materials
151;WANT WANT CHINA HOLDINGS LTD;Consumer Staples
AMRT;PT SUMBER ALFARIA TRIJAYA;Consumer Staples
047810;KOREA AEROSPACE INDUSTRIES LTD;Industrials
MINT.R;MINOR INTERNATIONAL PUBLIC NON-VOT;Consumer Discretionary
323410;KAKAOBANK CORP;Financials
9626;BILIBILI INC;Communication
914;ANHUI CONCH CEMENT LTD H;Materials
4958;ZHEN DING TECHNOLOGY HOLDING LTD;Information Technology
ADRO;ADARO ENERGY INDONESIA;Energy
BBAJIOO;BANCO DEL BAJIO INSTITUCION DE BAN;Financials
003490;KOREAN AIR LINES LTD;Industrials
1209;CHINA RESOURCES MIXC LIFESTYLE SER;Real Estate
