symbol;name;sector
FBK;FINECOBANK BANCA FINECO;Financials
BT/A;BT GROUP PLC;Communication
1COV;COVESTRO AG;Materials
GALP;GALP ENERGIA SGPS SA;Energy
PKN;ORLEN SA;Energy
CA;CARREFOUR SA;Consumer Staples
CNA;CENTRICA PLC;Utilities
SRG;SNAM;Utilities
QIA;QIAGEN NV;Health Care
LDO;LEONARDO FINMECCANICA SPA;Industrials
ACS;ACS ACTIVIDADES DE CONSTRUCCION Y;Industrials
AGN;AEGON LTD;Financials
ADM;ADMIRAL GROUP PLC;Financials
BOL;BOLIDEN;Materials
AGS;AGEAS SA;Financials
BNR;BRENNTAG;Industrials
P911;DR ING HC F PORSCHE PRF AG;Consumer Discretionary
BVI;BUREAU VERITAS SA;Industrials
STERV;STORA ENSO CLASS R;Materials
NESTE;NESTE;Energy
ICG;INTERMEDIATE CAPITAL GROUP PLC;Financials
IMCD;IMCD NV;Industrials
URW;UNIBAIL RODAMCO WE STAPLED UNITS;Real Estate
NHY;NORSK HYDRO;Materials
UU.;UNITED UTILITIES GROUP PLC;Utilities
AUTO;AUTO TRADER GROUP PLC;Communication
MOWI;MOWI;Consumer Staples
A5G;AIB GROUP PLC;Financials
SPX;SPIRAX-SARCO ENGINEERING PLC;Industrials
SVT;SEVERN TRENT PLC;Utilities
PAH3;PORSCHE AUTOMOBIL HOLDING PREF;Consumer Discretionary
SCA B;SVENSKA CELLULOSA B;Materials
FME;FRESENIUS MEDICAL CARE AG;Health Care
AC;ACCOR SA;Consumer Discretionary
MB;MEDIOBANCA BANCA DI CREDITO FINANZ;Financials
TREL B;TRELLEBORG B;Industrials
METSO;METSO CORPORATION;Industrials
ERF;EUROFINS SCIENTIFIC;Health Care
SW;SODEXO SA;Consumer Discretionary
TEN;TENARIS SA;Energy
PSON;PEARSON PLC;Consumer Discretionary
ENX;EURONEXT NV;Financials
ABN;ABN AMRO BANK NV;Financials
VIV;VIVENDI;Communication
MNDI;MONDI PLC;Materials
SAAB B;SAAB CLASS B;Industrials
ASRNL;ASR NEDERLAND NV;Financials
SMIN;SMITHS GROUP PLC;Industrials
AKRBP;AKER BP;Energy
KOG;KONGSBERG GRUPPEN;Industrials
CRDA;CRODA INTERNATIONAL PLC;Materials
TEL;TELENOR;Communication
NIBE B;NIBE INDUSTRIER CLASS B;Industrials
MKS;MARKS AND SPENCER GROUP PLC;Consumer Staples
CCH;COCA COLA HBC AG;Consumer Staples
DCC;DCC PLC;Industrials
PEO;BANK PEKAO SA;Financials
BALN;BALOISE HOLDING AG;Financials
OMV;OMV AG;Energy
CON;CONTINENTAL AG;Consumer Discretionary
MAERSK B;A P MOLLER MAERSK B;Industrials
BKG;BERKELEY GROUP HOLDINGS (THE) PLC;Consumer Discretionary
WEIR;WEIR GROUP PLC;Industrials
INDT;INDUTRADE;Industrials
SKF B;SKF B;Industrials
SRT3;SARTORIUS PREF AG;Health Care
SYENS;SYENSQO SA;Materials
SPSN;SWISS PRIME SITE AG;Real Estate
WISE;WISE PLC CLASS A;Financials
DPLM;DIPLOMA PLC;Industrials
RAND;RANDSTAD HOLDING;Industrials
BME;B&M EUROPEAN VALUE RETAIL SA;Consumer Discretionary
TRYG;TRYG;Financials
PZU;PZU SA;Financials
SMDS;SMITH (DS) PLC;Materials
TEP;TELEPERFORMANCE;Industrials
FORTUM;FORTUM;Utilities
GBLB;GROUPE BRUXELLES LAMBERT NV;Financials
ELISA;ELISA;Communication
WTB;WHITBREAD PLC;Consumer Discretionary
ADEN;ADECCO GROUP AG;Industrials
PST;POSTE ITALIANE;Financials
SKA B;SKANSKA B;Industrials
LEG;LEG IMMOBILIEN N;Real Estate
RXL;REXEL SA;Industrials
DHER;DELIVERY HERO;Consumer Discretionary
HWDN;HOWDEN JOINERY GROUP PLC;Industrials
ADDT B;ADDTECH CLASS B;Industrials
IMI;IMI PLC;Industrials
SBRY;SAINSBURY(J) PLC;Consumer Staples
G1A;GEA GROUP AG;Industrials
RED;REDEIA CORPORACION SA;Utilities
LAND;LAND SECURITIES GROUP REIT PLC;Real Estate
TWODF;TAYLOR WIMPEY PLC;Consumer Discretionary
ELE;ENDESA SA;Utilities
SIGN;SIG GROUP N AG;Materials
KGF;KINGFISHER PLC;Consumer Discretionary
LIFCO B;LIFCO CLASS B;Industrials
CPR;DAVIDE CAMPARI MILANO NV;Consumer Staples
ALO;ALSTOM SA;Industrials
BARN;BARRY CALLEBAUT AG;Consumer Staples
ORK;ORKLA;Consumer Staples
MNG;M&G PLC;Financials
SOBI;SWEDISH ORPHAN BIOVITRUM;Health Care
SPIE;SPIE SA;Industrials
BDEV;BARRATT DEVELOPMENTS;Consumer Discretionary
ZAL;ZALANDO;Consumer Discretionary
LI;KLEPIERRE REIT SA;Real Estate
NEM;NEMETSCHEK;Information Technology
UHR;THE SWATCH GROUP AG;Consumer Discretionary
BEIJ B;BEIJER REF CLASS B;Industrials
GF;GEORG FISCHER AG;Industrials
TELIA;TELIA COMPANY;Communication
JMT;JERONIMO MARTINS SA;Consumer Staples
G24;SCOUT24 N;Communication
PSPN;PSP SWISS PROPERTY AG;Real Estate
BKT;BANKINTER SA;Financials
KGH;KGHM POLSKA MIEDZ SA;Materials
AKE;ARKEMA SA;Materials
PSN;PERSIMMON PLC;Consumer Discretionary
VER;VERBUND AG;Utilities
ALE;ALLEGRO SA;Consumer Discretionary
EMSN;EMS-CHEMIE HOLDING AG;Materials
RMV;RIGHTMOVE PLC;Communication
ENT;ENTAIN PLC;Consumer Discretionary
PUM;PUMA;Consumer Discretionary
SECU B;SECURITAS B;Industrials
PHNX;PHOENIX GROUP HOLDINGS PLC;Financials
SAGA B;SAGAX CLASS B;Real Estate
DIM;SARTORIUS STEDIM BIOTECH SA;Health Care
MSIFT;CASH COLLATERAL EUR MSIFT;Cash and/or Derivatives
TEL2 B;TELE2 B;Communication
BG;BAWAG GROUP AG;Financials
REC;RECORDATI INDUSTRIA CHIMICA E FARM;Health Care
CTEC;CONVATEC GROUP PLC;Health Care
BEZ;BEAZLEY PLC;Financials
GET;GETLINK;Industrials
HSX;HISCOX LTD;Financials
LPP;LPP SA;Consumer Discretionary
KESKOB;KESKO CLASS B;Consumer Staples
KBX;KNORR BREMSE AG;Industrials
GTT;GAZTRANSPORT & TECHNIGAZ SA;Energy
IAG;INTERNATIONAL AIRLINES GROUP SA;Industrials
ARCAD;ARCADIS NV;Industrials
AAK;AAK;Consumer Staples
GFC;GECINA SA;Real Estate
VTY;VISTRY GROUP PLC;Consumer Discretionary
EVD;CTS EVENTIM AG;Communication
BIM;BIOMERIEUX SA;Health Care
